review_id,text
1,I love this product! It works perfectly. http://example.com
2,"Terrible experience, will not buy again!!!"
3,"Average quality, decent for the price."
4,"Absolutely fantastic, highly recommend it."
5,"Worst purchase ever, broke after 2 days."
6,"Great value for money, shipping was fast."
7,"I’m satisfied, but the packaging was bad."
8,Amazing service and top quality product.
9,"Not worth the price, very disappointed."
10,"Exceeded my expectations, will order again."
11,"The product is okay, but delivery was late."
12,"I got a defective item, had to return it."
13,Loved it! Perfect gift for my friend.
14,"The material feels cheap, not satisfied."
15,Excellent! Five stars from me.
16,"Mediocre quality, nothing special."
17,So happy with this! Great customer service.
18,"Terrible, the item never arrived."
19,"Good product overall, but too expensive."
20,Fast delivery and reliable quality.
